name,type,input_mode,greenhouse_gas,aerosol_chemistry_from_emissions,aerosol_chemistry_from_concentration,partition_fraction0,partition_fraction1,partition_fraction2,partition_fraction3,unperturbed_lifetime0,unperturbed_lifetime1,unperturbed_lifetime2,unperturbed_lifetime3,tropospheric_adjustment,forcing_efficacy,forcing_temperature_feedback,forcing_scale,molecular_weight,baseline_concentration,forcing_reference_concentration,forcing_reference_emissions,iirf_0,iirf_airborne,iirf_uptake,iirf_temperature,baseline_emissions,g1,g0,greenhouse_gas_radiative_efficiency,contrails_radiative_efficiency,erfari_radiative_efficiency,h2o_stratospheric_factor,lapsi_radiative_efficiency,land_use_cumulative_emissions_to_forcing,ozone_radiative_efficiency,cl_atoms,br_atoms,fractional_release,aci_scale,aci_shape,ch4_lifetime_chemical_sensitivity,lifetime_temperature_sensitivity
CO2 FFI,co2 ffi,emissions,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,0,nan,nan,nan,nan,0.008734585,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,0,nan
CO2 AFOLU,co2 afolu,emissions,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,nan,nan,nan,0,nan,nan,nan,nan,0.364074357,nan,nan,nan,nan,nan,nan,nan,-0.000218362,nan,nan,nan,nan,nan,0,0,nan
CO2,co2,calculated,1,0,0,0.2173,0.224,0.2824,0.2763,1000000000,394.4,36.54,4.304,0.05,1,0,1,44.009,284.29727,277.15,0,29,0.000819,0.00846,4,0,11.41262243,0.010178288,1.33E-05,0,0,0,0,nan,0,0,0,0,nan,0,0,nan
CH4,ch4,emissions,1,0,1,1,0,0,0,15.94787617,15.94787617,15.94787617,15.94787617,-0.14,1,0,1,16.043,798.79926,731.41,0,8.249955097,0.00032,0,-0.3,39.21780406,8.249410814,0.36785517,0.000388644,0,-2.27E-06,4.40E-05,0,0,0.000175,0,0,0,nan,0,0.000137887,-6.30E-12
N2O,n2o,emissions,1,0,1,1,0,0,0,109,109,109,109,0.07,1,0,1,44.013,271.57,273.87,0,65.44969575,-0.0065,0,0,1.232460806,25.49528818,0.076755588,0.003195507,0,-3.64E-05,0,0,0,0.00071,0,0,0,nan,0,-0.000105967,nan
Sulfur,sulfur,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,64.069,nan,nan,2.440048435,nan,nan,nan,nan,4.394761178,nan,nan,nan,0,-0.00286,0,0,0,0,nan,nan,nan,nan,0.0169,0,nan
BC,black carbon,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,12.011,nan,nan,2.097770755,nan,nan,nan,nan,2.814269165,nan,nan,nan,0,0.021,0,0.015566703,0,0,nan,nan,nan,nan,1.04E-15,0,nan
OC,organic carbon,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,12.011,nan,nan,15.44766815,nan,nan,nan,nan,19.03501675,nan,nan,nan,0,-0.00396,0,0,0,0,nan,nan,nan,nan,0.0309,0,nan
NH3,other slcf,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,17.031,nan,nan,6.927690091,nan,nan,nan,nan,9.162359296,nan,nan,nan,0,-0.000565,0,0,0,0,nan,nan,nan,nan,0,0,nan
NOx,other slcf,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,46.006,nan,nan,12.73521194,nan,nan,nan,nan,20.16213795,nan,nan,nan,0,-6.70E-05,0,0,0,0.0018,nan,nan,nan,nan,0,-0.003854316,nan
VOC,other slcf,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,59.746,nan,nan,60.02182622,nan,nan,nan,nan,67.30101513,nan,nan,nan,0,-1.60E-05,0,0,0,0.000329,nan,nan,nan,nan,0,0.000233154,nan
CO,other slcf,emissions,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,1,28.01,nan,nan,348.5273588,nan,nan,nan,nan,406.2903039,nan,nan,nan,0,0,0,0,0,0.000155,nan,nan,nan,nan,0,0,nan
CFC-11,cfc-11,emissions,1,0,0,1,0,0,0,52,52,52,52,0.13,1,0,1,137.36,0,0,0,44.39985903,0,0,0,0,29.78420333,0.225210813,0.25941,0,0,0,0,0,0,3,0,0.47,nan,0,0,nan
CFC-12,other halogen,emissions,1,0,0,1,0,0,0,102,102,102,102,0.12,1,0,1,120.91,0,0,0,63.73327742,0,0,0,0,26.21688273,0.087948721,0.31998,0,0,0,0,0,0,2,0,0.23,nan,0,0,nan
CFC-113,other halogen,emissions,1,0,0,1,0,0,0,93,93,93,93,0,1,0,1,187.37,0,0,0,61.26784005,0,0,0,0,27.14723796,0.104677409,0.30142,0,0,0,0,0,0,3,0,0.29,nan,0,0,nan
CFC-114,other halogen,emissions,1,0,0,1,0,0,0,189,189,189,189,0,1,0,1,170.92,0,0,0,77.65355287,0,0,0,0,18.74008878,0.015863837,0.31433,0,0,0,0,0,0,2,0,0.12,nan,0,0,nan
CFC-115,other halogen,emissions,1,0,0,1,0,0,0,540,540,540,540,0,1,0,1,154.46,0,0,0,91.28678945,0,0,0,0,8.191750463,1.45E-05,0.24625,0,0,0,0,0,0,1,0,0.04,nan,0,0,nan
HCFC-22,other halogen,emissions,1,0,0,1,0,0,0,11.9,11.9,11.9,11.9,0,1,0,1,86.47,0,0,0,11.89733306,0,0,0,0,11.87492178,0.367185805,0.21385,0,0,0,0,0,0,1,0,0.13,nan,0,0,nan
HCFC-141b,other halogen,emissions,1,0,0,1,0,0,0,9.4,9.4,9.4,9.4,0,1,0,1,116.95,0,0,0,9.39977459,0,0,0,0,9.397376608,0.367785579,0.16065,0,0,0,0,0,0,2,0,0.34,nan,0,0,nan
HCFC-142b,other halogen,emissions,1,0,0,1,0,0,0,18,18,18,18,0,1,0,1,100.49,0,0,0,17.93041344,0,0,0,0,17.54382142,0.35986159,0.19329,0,0,0,0,0,0,1,0,0.17,nan,0,0,nan
CCl4,other halogen,emissions,1,0,0,1,0,0,0,32,32,32,32,0,1,0,1,153.8,0.025,0.025,0,30.59401812,0,0,0,0,26.20032476,0.311082807,0.16616,0,0,0,0,0,0,4,0,0.56,nan,0,0,nan
CH3Cl,other halogen,emissions,1,0,0,1,0,0,0,0.9,0.9,0.9,0.9,0,1,0,1,50.49,457,457,0,0.9,0,0,0,4554.415615,0.9,0.367879441,0.00466,0,0,0,0,0,0,1,0,0.44,nan,0,0,nan
CH3CCl3,other halogen,emissions,1,0,0,1,0,0,0,5,5,5,5,0,1,0,1,133.4,0,0,0,4.99999999,0,0,0,0,4.999999784,0.367879426,0.06454,0,0,0,0,0,0,3,0,0.67,nan,0,0,nan
CH3Br,other halogen,emissions,1,0,0,1,0,0,0,0.8,0.8,0.8,0.8,0,1,0,1,94.94,5.3,5.3,0,0.8,0,0,0,111.7659708,0.8,0.367879441,0.00432,0,0,0,0,0,0,0,1,0.6,nan,0,0,nan
Halon-1211,other halogen,emissions,1,0,0,1,0,0,0,16,16,16,16,0,1,0,1,165.36,0.00445,0.00445,0,15.96911273,0,0,0,0,15.77606732,0.363405278,0.30014,0,0,0,0,0,0,1,1,0.62,nan,0,0,nan
Halon-1301,other halogen,emissions,1,0,0,1,0,0,0,72,72,72,72,0,1,0,1,148.91,0,0,0,54.04664097,0,0,0,0,29.11142009,0.156211519,0.29943,0,0,0,0,0,0,0,1,0.28,nan,0,0,nan
Halon-2402,other halogen,emissions,1,0,0,1,0,0,0,28,28,28,28,0,1,0,1,259.82,0,0,0,27.21276153,0,0,0,0,24.40119555,0.327842336,0.31169,0,0,0,0,0,0,0,2,0.65,nan,0,0,nan
